"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
63;"R31,R32,R33,R30,R28,R27";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";6;"1K";;;
64;"U49";"DIP-8_W7.62mm_Socket";1;"LM311";;;
65;"C78";"CP_Radial_D5.0mm_P2.50mm";1;"1uF";;;
66;"U2";"DIP-40_W15.24mm_Socket";1;"82C55";;;
67;"U41,U40";"DIP-14_W7.62mm_Socket";2;"74HCT30";;;
68;"U44";"DIP-14_W7.62mm_Socket";1;"74AHCT02";;;
69;"U45";"DIP-14_W7.62mm_Socket";1;"74HCT00";;;
70;"U35,U34,U36";"DIP-14_W7.62mm_Socket";3;"74HCT74";;;
71;"C63,C61,C59,C64,C62,C60,C67,C66";"CP_Radial_D10.0mm_P5.00mm";8;"220uF";;;
72;"C81";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1.5nF";;;
73;"U48";"DIP-8_W7.62mm_Socket";1;"MCP6281";;;
74;"U4";"DIP-40_W15.24mm_Socket";1;"YM2149";;;
75;"RR9";"R_Array_SIP6";1;"470";;;
76;"Y1";"Crystal_HC49-U_Vertical";1;"21.477270MHz";;;
77;"Y3";"Crystal_HC49-U_Vertical";1;"4.433618MHz";;;
78;"C65";"CP_Radial_D10.0mm_P5.00mm";1;"470uF";;;
79;"U8,U10,U9,U11";"DIP-18_W7.62mm_Socket";4;"D41464";;;
80;"C94";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"4.7pF";;;
81;"C93,C92";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"22pF";;;
82;"C91";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"27pF";;;
83;"C85";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"47pF";;;
84;"C84,C83,C82";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"330pF";;;
85;"R42,R41,R40,R39,R38,R37";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";6;"100";;;
86;"R34";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"470";;;
87;"R29";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1k";;;
88;"R26,R25";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"2.2K";;;
89;"R24,R23";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"2.7K";;;
90;"R22,R21,R20,R19,R18,R17,R16";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";7;"4.7K";;;
91;"R15";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"5.6K";;;
92;"R13,R12,R11,R14";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"10K";;;
93;"R10,R9";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"20K";;;
94;"R8,R7";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"47K";;;
95;"R6,R5";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"100k";;;
96;"R4";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"220K";;;
97;"R3,R2";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"470K";;;
98;"U43";"DIP-14_W7.62mm_Socket";1;"74HCT04";;;
99;"R48,R47,R46,R45,R44,R43";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";6;"75";;;
100;"R36";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"120";;;
101;"R35";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"180";;;
102;"R1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1M";;;
103;"J5";"DIN8";1;"RGB";;;
104;"J6";"DIN8";1;"Cassette";;;
105;"J4";"Conn_Mini_DIN_4pin";1;"S-VIDEO";;;
106;"U3";"IC_SDIP64_600";1;"V9938/V9958";;;
107;"J2";"Conn_RCA_Right";1;"Composite";;;
108;"J9";"Conn_Micro_Ribbon_14F";1;"PRINTER";;;
109;"RY1";"Relay_SPDT";1;"Relay_5V";;;
110;"BT1";"Battery_Holder_CR2032_Universal";1;"CR2032";;;
111;"J3";"Conn_RCA_Right";1;"Audio";;;
