"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
74;"J23";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"NMI";;;
75;"J24";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"RESET";;;
76;"J10";"Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical";1;"DC Converter";;;
77;"JP9";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"SEL_ROM2";;;
78;"SW2";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"SEL_ROM";;;
79;"J27";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"EXTR_PWR4";;;
80;"J26";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical_Omega";1;"PWR_SW";;;
81;"J28";"PinHeader_1x04_P2.54mm_Vertical";1;"NMISLOT_SEL";;;
82;"C1,C2,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C17,C18,C20,C21,C22,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C52,C56,C23,C54,C51,C53,C19,C16,C48,C57,C49,C55,C58,C3,C50,C100";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";59;"100nF";;;
83;"C80,C79";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"22nF";;;
84;"C82,C83,C84";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"330pF";;;
85;"C85";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"47pF";;;
86;"C86,C87";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"33pF";;;
87;"C92,C93";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"22pF";;;
88;"D1";"D_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1N4148";;;
89;"R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1M";;;
90;"R2,R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"470K";;;
91;"R5,R6";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"100K";;;
92;"R7,R8";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"47K";;;
93;"R17,R21,R22,R16,R19,R18,R20";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";7;"4.7K";;;
94;"R25,R26";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"2.2K";;;
95;"R30,R29,R27,R28,R31,R32,R33";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";7;"1K";;;
96;"R37,R39,R40,R41,R38,R42";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";6;"100";;;
97;"R47,R48,R45,R44,R43,R46";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";6;"75";;;
98;"R9,R10";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"20K";;;
99;"C94";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"4.7pF";;;
100;"C81";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1.5nF";;;
101;"R13,R12,R11,R14,R49,R50,R51";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";7;"10K";;;
102;"R15";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"5.6K";;;
103;"L1";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"68uH";;;
104;"C91";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"27pF";;;
105;"R23,R24";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"2.7K";;;
106;"R4";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"220K";;;
107;"R35";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"180";;;
108;"R36";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"120";;;
109;"R34";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"470";;;
110;"L2,L3";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"5.6uH";;;
111;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"750mA";;;
112;"C89,C90,C88";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"30pF";;;
